rank,filename,contour_type,layer,channel,mean_activation,mean_abs_activation,max_activation
1,C_high_BL_0_J000_008.png,C,h2_exc,202,11.291896,11.291896,49.443798
2,C_high_BL_0_J000_008.png,C,h2_exc,236,10.804074,10.804074,42.508408
3,C_high_BL_0_J000_008.png,C,h2_exc,97,10.787417,10.787417,74.43066
4,C_high_BL_0_J000_008.png,C,h2_exc,197,9.378161,9.378161,28.978651
5,C_high_BL_0_J000_008.png,C,h2_exc,67,9.096463,9.096463,50.621147
6,C_high_BL_0_J000_008.png,C,h2_exc,189,8.9214325,8.9214325,85.49324
7,C_high_BL_0_J000_008.png,C,h2_exc,238,8.7116995,8.7116995,39.48773
8,C_high_BL_0_J000_008.png,C,h2_exc,95,8.13451,8.13451,44.586437
9,C_high_BL_0_J000_008.png,C,h2_exc,115,7.5417814,7.5417814,45.42153
10,C_high_BL_0_J000_008.png,C,h2_exc,182,7.5123053,7.5123053,102.90643
11,C_high_BL_0_J000_008.png,C,h2_exc,156,7.252724,7.252724,36.27599
12,C_high_BL_0_J000_008.png,C,h2_exc,207,7.2089863,7.2089863,37.770096
13,C_high_BL_0_J000_008.png,C,h2_exc,11,7.097673,7.097673,48.423058
14,C_high_BL_0_J000_008.png,C,h2_exc,35,6.735388,6.735388,32.47462
15,C_high_BL_0_J000_008.png,C,h2_exc,42,6.647392,6.647392,75.55606
16,C_high_BL_0_J000_008.png,C,h2_exc,43,6.332506,6.332506,36.134335
17,C_high_BL_0_J000_008.png,C,h2_exc,20,6.2005825,6.2005825,30.076458
18,C_high_BL_0_J000_008.png,C,h2_exc,141,6.007187,6.007187,27.446177
19,C_high_BL_0_J000_008.png,C,h2_exc,246,5.7854505,5.7854505,117.33194
20,C_high_BL_0_J000_008.png,C,h2_exc,101,5.426436,5.426436,33.96834
21,C_high_BL_0_J000_008.png,C,h2_exc,146,5.3923206,5.3923206,45.52125
22,C_high_BL_0_J000_008.png,C,h2_exc,249,5.221023,5.221023,54.621307
23,C_high_BL_0_J000_008.png,C,h2_exc,147,5.102097,5.102097,28.751001
24,C_high_BL_0_J000_008.png,C,h2_exc,174,4.8481355,4.8481355,25.529263
25,C_high_BL_0_J000_008.png,C,h2_exc,121,4.8374906,4.8374906,57.004963
26,C_high_BL_0_J000_008.png,C,h2_exc,119,4.7936306,4.7936306,68.11575
27,C_high_BL_0_J000_008.png,C,h2_exc,9,4.7929864,4.7929864,24.289215
28,C_high_BL_0_J000_008.png,C,h2_exc,105,4.7055206,4.7055206,86.068535
29,C_high_BL_0_J000_008.png,C,h2_exc,241,4.6411943,4.6411943,41.005554
30,C_high_BL_0_J000_008.png,C,h2_exc,199,4.6143446,4.6143446,33.251213
31,C_high_BL_0_J000_008.png,C,h2_exc,144,4.4994845,4.4994845,45.56241
32,C_high_BL_0_J000_008.png,C,h2_exc,170,4.4982204,4.4982204,39.54251
33,C_high_BL_0_J000_008.png,C,h2_exc,123,4.4165063,4.4165063,38.16609
34,C_high_BL_0_J000_008.png,C,h2_exc,90,4.3921027,4.3921027,41.453674
35,C_high_BL_0_J000_008.png,C,h2_exc,102,4.345952,4.345952,56.328594
36,C_high_BL_0_J000_008.png,C,h2_exc,127,4.3107247,4.3107247,22.352398
37,C_high_BL_0_J000_008.png,C,h2_exc,109,4.2306356,4.2306356,68.06382
38,C_high_BL_0_J000_008.png,C,h2_exc,113,4.1740913,4.1740913,25.303476
39,C_high_BL_0_J000_008.png,C,h2_exc,94,4.1499934,4.1499934,64.06758
40,C_high_BL_0_J000_008.png,C,h2_exc,46,4.1445503,4.1445503,24.052258
41,C_high_BL_0_J000_008.png,C,h2_exc,190,4.139743,4.139743,52.161324
42,C_high_BL_0_J000_008.png,C,h2_exc,33,4.1161156,4.1161156,17.064846
43,C_high_BL_0_J000_008.png,C,h2_exc,200,4.114828,4.114828,68.78406
44,C_high_BL_0_J000_008.png,C,h2_exc,188,4.1065884,4.1065884,120.50363
45,C_high_BL_0_J000_008.png,C,h2_exc,198,3.9564557,3.9564557,7.3963666
46,C_high_BL_0_J000_008.png,C,h2_exc,79,3.8544598,3.8544598,46.45551
47,C_high_BL_0_J000_008.png,C,h2_exc,180,3.8476615,3.8476615,19.849085
48,C_high_BL_0_J000_008.png,C,h2_exc,151,3.8274884,3.8274884,37.40228
49,C_high_BL_0_J000_008.png,C,h2_exc,111,3.6818485,3.6818485,20.675669
50,C_high_BL_0_J000_008.png,C,h2_exc,49,3.5179615,3.5179615,14.464956
51,C_high_BL_0_J000_008.png,C,h2_exc,6,3.516645,3.516645,10.711928
52,C_high_BL_0_J000_008.png,C,h2_exc,204,3.5054274,3.5054274,14.8028345
53,C_high_BL_0_J000_008.png,C,h2_exc,244,3.4773524,3.4773524,23.689907
54,C_high_BL_0_J000_008.png,C,h2_exc,206,3.4679315,3.4679315,6.6595263
55,C_high_BL_0_J000_008.png,C,h2_exc,135,3.4236548,3.4236548,23.810608
56,C_high_BL_0_J000_008.png,C,h2_exc,155,3.4207468,3.4207468,25.061487
57,C_high_BL_0_J000_008.png,C,h2_exc,19,3.4160428,3.4160428,11.71547
58,C_high_BL_0_J000_008.png,C,h2_exc,15,3.3529634,3.3529634,33.000156
59,C_high_BL_0_J000_008.png,C,h2_exc,192,3.3299408,3.3299408,30.367388
60,C_high_BL_0_J000_008.png,C,h2_exc,29,3.3091564,3.3091564,47.728428
61,C_high_BL_0_J000_008.png,C,h2_exc,160,3.2463331,3.2463331,42.89463
62,C_high_BL_0_J000_008.png,C,h2_exc,217,3.2451916,3.2451916,21.779743
63,C_high_BL_0_J000_008.png,C,h2_exc,69,3.2282162,3.2282162,12.313321
64,C_high_BL_0_J000_008.png,C,h2_exc,213,3.1623402,3.1623402,90.71971
65,C_high_BL_0_J000_008.png,C,h2_exc,196,3.1614597,3.1614597,14.049906
66,C_high_BL_0_J000_008.png,C,h2_exc,55,3.0802255,3.0802255,31.343756
67,C_high_BL_0_J000_008.png,C,h2_exc,229,2.9264305,2.9264305,43.63356
68,C_high_BL_0_J000_008.png,C,h2_exc,218,2.8495626,2.8495626,30.139324
69,C_high_BL_0_J000_008.png,C,h2_exc,50,2.844118,2.844118,8.407662
70,C_high_BL_0_J000_008.png,C,h2_exc,179,2.7758498,2.7758498,39.331364
71,C_high_BL_0_J000_008.png,C,h2_exc,76,2.7633362,2.7633362,38.566116
