rank,filename,contour_type,layer,channel,mean_activation,mean_abs_activation,max_activation
1,C_high_BL_0_J000_008.png,C,td_h1_exc,29,3.5620818,3.5620818,22.925941
2,C_high_BL_0_J000_008.png,C,td_h1_exc,23,2.9497313,2.9497313,26.288992
3,C_high_BL_0_J000_008.png,C,td_h1_exc,102,2.8551912,2.8551912,27.00577
4,C_high_BL_0_J000_008.png,C,td_h1_exc,7,2.669652,2.669652,21.891035
5,C_high_BL_0_J000_008.png,C,td_h1_exc,78,2.3931646,2.3931646,20.803455
6,C_high_BL_0_J000_008.png,C,td_h1_exc,92,2.280606,2.280606,13.916828
7,C_high_BL_0_J000_008.png,C,td_h1_exc,65,2.1552584,2.1552584,9.3622
8,C_high_BL_0_J000_008.png,C,td_h1_exc,25,2.131653,2.131653,19.075848
9,C_high_BL_0_J000_008.png,C,td_h1_exc,62,2.0748458,2.0748458,8.559285
10,C_high_BL_0_J000_008.png,C,td_h1_exc,28,2.054031,2.054031,11.426039
11,C_high_BL_0_J000_008.png,C,td_h1_exc,105,2.0324564,2.0324564,9.441346
12,C_high_BL_0_J000_008.png,C,td_h1_exc,61,2.0017471,2.0017471,22.691273
13,C_high_BL_0_J000_008.png,C,td_h1_exc,80,1.9337496,1.9337496,9.6161585
14,C_high_BL_0_J000_008.png,C,td_h1_exc,0,1.8758503,1.8758503,22.411121
15,C_high_BL_0_J000_008.png,C,td_h1_exc,121,1.7306199,1.7306199,14.168058
16,C_high_BL_0_J000_008.png,C,td_h1_exc,72,1.6746334,1.6746334,21.992622
17,C_high_BL_0_J000_008.png,C,td_h1_exc,22,1.6599133,1.6599133,9.185233
18,C_high_BL_0_J000_008.png,C,td_h1_exc,45,1.6407619,1.6407619,14.153737
19,C_high_BL_0_J000_008.png,C,td_h1_exc,6,1.6373422,1.6373422,16.091461
20,C_high_BL_0_J000_008.png,C,td_h1_exc,20,1.5433884,1.5433884,13.282776
21,C_high_BL_0_J000_008.png,C,td_h1_exc,64,1.47055,1.47055,17.96983
22,C_high_BL_0_J000_008.png,C,td_h1_exc,21,1.4556146,1.4556146,17.901573
23,C_high_BL_0_J000_008.png,C,td_h1_exc,4,1.4435742,1.4435742,5.9528394
24,C_high_BL_0_J000_008.png,C,td_h1_exc,94,1.4322479,1.4322479,8.486307
25,C_high_BL_0_J000_008.png,C,td_h1_exc,13,1.4216117,1.4216117,25.538378
26,C_high_BL_0_J000_008.png,C,td_h1_exc,82,1.4118499,1.4118499,28.62489
27,C_high_BL_0_J000_008.png,C,td_h1_exc,11,1.3716156,1.3716156,86.33072
