rank,filename,contour_type,layer,channel,mean_activation,mean_abs_activation,max_activation
1,straight_high_BL_0_J000_003.png,straight,h1_exc,29,5.7483006,5.7483006,43.43383
2,straight_high_BL_0_J000_003.png,straight,h1_exc,25,5.101927,5.101927,35.26306
3,straight_high_BL_0_J000_003.png,straight,h1_exc,52,4.811624,4.811624,9.764409
4,straight_high_BL_0_J000_003.png,straight,h1_exc,7,4.583183,4.583183,26.871649
5,straight_high_BL_0_J000_003.png,straight,h1_exc,78,4.5714846,4.5714846,36.322357
6,straight_high_BL_0_J000_003.png,straight,h1_exc,72,4.531584,4.531584,41.25046
7,straight_high_BL_0_J000_003.png,straight,h1_exc,23,4.4655585,4.4655585,37.166233
8,straight_high_BL_0_J000_003.png,straight,h1_exc,102,4.38742,4.38742,27.036163
9,straight_high_BL_0_J000_003.png,straight,h1_exc,80,4.377313,4.377313,19.869768
10,straight_high_BL_0_J000_003.png,straight,h1_exc,65,4.3197308,4.3197308,21.232704
11,straight_high_BL_0_J000_003.png,straight,h1_exc,6,3.9893157,3.9893157,28.606861
12,straight_high_BL_0_J000_003.png,straight,h1_exc,37,3.803253,3.803253,12.097109
13,straight_high_BL_0_J000_003.png,straight,h1_exc,45,3.7982607,3.7982607,25.423695
14,straight_high_BL_0_J000_003.png,straight,h1_exc,92,3.7778854,3.7778854,28.061579
15,straight_high_BL_0_J000_003.png,straight,h1_exc,98,3.768144,3.768144,56.622433
16,straight_high_BL_0_J000_003.png,straight,h1_exc,28,3.4965715,3.4965715,18.089886
17,straight_high_BL_0_J000_003.png,straight,h1_exc,121,3.3346014,3.3346014,18.263802
18,straight_high_BL_0_J000_003.png,straight,h1_exc,82,3.3097222,3.3097222,46.05069
19,straight_high_BL_0_J000_003.png,straight,h1_exc,63,3.246921,3.246921,15.959328
20,straight_high_BL_0_J000_003.png,straight,h1_exc,48,3.2450159,3.2450159,15.733051
21,straight_high_BL_0_J000_003.png,straight,h1_exc,108,3.2337513,3.2337513,7.5265346
22,straight_high_BL_0_J000_003.png,straight,h1_exc,94,3.142604,3.142604,13.454183
23,straight_high_BL_0_J000_003.png,straight,h1_exc,64,3.1046762,3.1046762,20.560255
24,straight_high_BL_0_J000_003.png,straight,h1_exc,61,3.0086265,3.0086265,36.991028
25,straight_high_BL_0_J000_003.png,straight,h1_exc,1,2.9642951,2.9642951,11.035066
26,straight_high_BL_0_J000_003.png,straight,h1_exc,11,2.9406328,2.9406328,134.77997
27,straight_high_BL_0_J000_003.png,straight,h1_exc,33,2.9021854,2.9021854,6.757178
28,straight_high_BL_0_J000_003.png,straight,h1_exc,86,2.8544705,2.8544705,29.966784
29,straight_high_BL_0_J000_003.png,straight,h1_exc,49,2.8291528,2.8291528,19.05547
30,straight_high_BL_0_J000_003.png,straight,h1_exc,105,2.8160834,2.8160834,21.683815
31,straight_high_BL_0_J000_003.png,straight,h1_exc,22,2.6587195,2.6587195,8.994476
32,straight_high_BL_0_J000_003.png,straight,h1_exc,47,2.6412952,2.6412952,11.903886
33,straight_high_BL_0_J000_003.png,straight,h1_exc,100,2.6251829,2.6251829,7.8955455
34,straight_high_BL_0_J000_003.png,straight,h1_exc,40,2.6128478,2.6128478,17.22477
35,straight_high_BL_0_J000_003.png,straight,h1_exc,13,2.5293698,2.5293698,67.59261
36,straight_high_BL_0_J000_003.png,straight,h1_exc,58,2.5189965,2.5189965,9.76223
37,straight_high_BL_0_J000_003.png,straight,h1_exc,107,2.5169947,2.5169947,6.942009
38,straight_high_BL_0_J000_003.png,straight,h1_exc,55,2.505319,2.505319,12.781995
39,straight_high_BL_0_J000_003.png,straight,h1_exc,62,2.4994729,2.4994729,12.133041
40,straight_high_BL_0_J000_003.png,straight,h1_exc,38,2.4830904,2.4830904,4.8136616
41,straight_high_BL_0_J000_003.png,straight,h1_exc,71,2.4235218,2.4235218,8.077661
42,straight_high_BL_0_J000_003.png,straight,h1_exc,90,2.4099853,2.4099853,14.702253
43,straight_high_BL_0_J000_003.png,straight,h1_exc,16,2.386193,2.386193,12.706193
44,straight_high_BL_0_J000_003.png,straight,h1_exc,93,2.3768604,2.3768604,15.673046
45,straight_high_BL_0_J000_003.png,straight,h1_exc,0,2.375801,2.375801,25.42366
46,straight_high_BL_0_J000_003.png,straight,h1_exc,117,2.369471,2.369471,5.6039867
47,straight_high_BL_0_J000_003.png,straight,h1_exc,60,2.3216648,2.3216648,9.266637
48,straight_high_BL_0_J000_003.png,straight,h1_exc,26,2.284902,2.284902,16.915188
49,straight_high_BL_0_J000_003.png,straight,h1_exc,12,2.2594426,2.2594426,8.561407
50,straight_high_BL_0_J000_003.png,straight,h1_exc,24,2.2592847,2.2592847,7.16797
51,straight_high_BL_0_J000_003.png,straight,h1_exc,17,2.259276,2.259276,12.971825
52,straight_high_BL_0_J000_003.png,straight,h1_exc,87,2.2266657,2.2266657,13.338601
53,straight_high_BL_0_J000_003.png,straight,h1_exc,20,2.2119732,2.2119732,20.255917
54,straight_high_BL_0_J000_003.png,straight,h1_exc,42,2.205642,2.205642,5.9778953
55,straight_high_BL_0_J000_003.png,straight,h1_exc,96,2.171769,2.171769,13.814906
56,straight_high_BL_0_J000_003.png,straight,h1_exc,113,2.1439037,2.1439037,92.65128
57,straight_high_BL_0_J000_003.png,straight,h1_exc,67,2.1380749,2.1380749,11.289082
58,straight_high_BL_0_J000_003.png,straight,h1_exc,83,2.1233833,2.1233833,22.307117
59,straight_high_BL_0_J000_003.png,straight,h1_exc,21,2.1208212,2.1208212,31.13544
60,straight_high_BL_0_J000_003.png,straight,h1_exc,112,2.0842717,2.0842717,14.061705
61,straight_high_BL_0_J000_003.png,straight,h1_exc,27,2.0379398,2.0379398,12.760511
62,straight_high_BL_0_J000_003.png,straight,h1_exc,99,1.9579444,1.9579444,44.652344
63,straight_high_BL_0_J000_003.png,straight,h1_exc,18,1.9487717,1.9487717,7.064641
64,straight_high_BL_0_J000_003.png,straight,h1_exc,104,1.9419061,1.9419061,5.843837
