true_category,jitter,n,accuracy,mean_evidence_C,mean_evidence_straight
C,0,1,0.0,2.8892433643341064,3.655862808227539
C,1,1,0.0,2.6110403537750244,3.1224937438964844
C,2,1,0.0,2.598700523376465,3.2922916412353516
C,3,1,0.0,2.733722686767578,2.9271178245544434
C,4,1,1.0,3.289194345474243,2.92964506149292
C,5,1,1.0,3.039799451828003,2.7484943866729736
C,6,1,0.0,2.9422993659973145,3.0438451766967773
C,7,1,0.0,2.647235631942749,3.4125165939331055
C,8,1,0.0,2.5081734657287598,3.4078123569488525
C,9,1,0.0,2.0168511867523193,2.8871243000030518
C,10,1,1.0,3.0842020511627197,2.767796039581299
C,11,1,0.0,2.6764450073242188,3.2836217880249023
C,12,1,1.0,2.875788927078247,2.7529513835906982
C,13,1,0.0,2.821188449859619,3.4061121940612793
C,14,1,0.0,2.435004711151123,2.933945417404175
C,15,1,0.0,2.8082275390625,3.01825213432312
C,16,1,0.0,2.504808187484741,2.9308900833129883
C,17,1,0.0,2.0083065032958984,2.8931922912597656
C,18,1,0.0,2.634284257888794,2.9154489040374756
C,19,1,0.0,2.497081756591797,2.911778450012207
C,20,1,0.0,2.1536483764648438,3.026535987854004
C,21,1,0.0,2.9114553928375244,2.920377016067505
C,22,1,0.0,2.4822263717651367,3.267223358154297
C,23,1,0.0,3.092663049697876,3.113252878189087
C,24,1,0.0,1.7708195447921753,3.0270023345947266
C,25,1,0.0,2.4272303581237793,2.7473461627960205
C,26,1,0.0,2.6600286960601807,2.9095966815948486
C,27,1,0.0,1.841602087020874,2.9316322803497314
C,28,1,0.0,2.260833263397217,3.65836501121521
C,29,1,0.0,1.8462848663330078,2.8680548667907715
C,30,1,0.0,1.7235621213912964,3.3039419651031494
C,31,1,0.0,2.254737377166748,2.7503695487976074
C,32,1,0.0,1.2111783027648926,2.822488307952881
C,33,1,0.0,1.0239177942276,3.0007948875427246
C,34,1,0.0,2.1621131896972656,3.2445008754730225
C,35,1,0.0,1.543327808380127,3.1497299671173096
C,36,1,0.0,1.3944071531295776,2.8635952472686768
C,37,1,0.0,2.063236713409424,3.6919522285461426
C,38,1,0.0,1.283208966255188,3.2896385192871094
C,39,1,0.0,2.2623157501220703,3.4549026489257812
C,40,1,0.0,1.4077752828598022,2.7015843391418457
C,41,1,0.0,1.021555781364441,3.2340235710144043
C,42,1,0.0,1.1842283010482788,3.0651073455810547
C,43,1,0.0,1.4119452238082886,3.277233839035034
C,44,1,0.0,1.5843409299850464,2.749234437942505
C,45,1,0.0,1.3931119441986084,3.2523789405822754
C,46,1,0.0,1.4245021343231201,2.8701133728027344
C,47,1,0.0,1.2202180624008179,2.8582184314727783
C,48,1,0.0,2.176596164703369,3.234844446182251
C,49,1,0.0,1.3906805515289307,2.877000570297241
C,50,1,0.0,1.5711761713027954,3.142702341079712
C,51,1,0.0,1.092515468597412,2.840998649597168
C,52,1,0.0,0.8164129257202148,3.2129056453704834
C,53,1,0.0,1.098587155342102,2.7816452980041504
C,54,1,0.0,0.7896818518638611,3.299138069152832
C,55,1,0.0,1.6494109630584717,2.8985722064971924
C,56,1,0.0,1.1565145254135132,2.827914237976074
C,57,1,0.0,1.5171350240707397,3.3400912284851074
C,58,1,0.0,0.6790014505386353,2.803022623062134
C,60,1,0.0,1.0942143201828003,3.147603988647461
straight,0,1,1.0,1.8280138969421387,3.638836145401001
straight,1,1,1.0,1.8280138969421387,3.638836145401001
straight,2,1,1.0,1.0802158117294312,3.3572638034820557
straight,3,1,1.0,1.090414047241211,3.3513097763061523
straight,4,1,1.0,1.0976289510726929,3.627305030822754
straight,5,1,1.0,0.9341737627983093,3.2891619205474854
straight,6,1,1.0,0.9797030091285706,3.2943358421325684
straight,7,1,1.0,1.3494013547897339,3.442533016204834
straight,8,1,1.0,0.8455716967582703,3.7038016319274902
straight,9,1,1.0,0.9743226766586304,3.619035482406616
straight,10,1,1.0,0.45990967750549316,3.581494092941284
straight,11,1,1.0,0.9525007605552673,3.132999897003174
straight,12,1,1.0,0.9476949572563171,3.2976157665252686
straight,13,1,1.0,0.7553567886352539,3.434053421020508
straight,14,1,1.0,0.965812087059021,3.9505841732025146
straight,15,1,1.0,0.9293453097343445,3.218717098236084
straight,16,1,1.0,0.9667696356773376,3.789806604385376
straight,17,1,1.0,0.959184467792511,3.980820894241333
