category,layer,timestep,rank,channel,SI_category_vs_rest,passes_threshold
C,h3_exc,3,1,119,0.43629327416419983,True
C,h3_exc,3,2,293,0.42322883009910583,True
C,h3_exc,3,3,34,0.40686190128326416,True
C,h3_exc,3,4,325,0.32916000485420227,True
C,h3_exc,3,5,242,0.32012268900871277,True
C,h3_exc,3,6,93,0.3153107762336731,True
C,h3_exc,3,7,227,0.313241571187973,True
C,h3_exc,3,8,183,0.2840553820133209,True
C,h3_exc,3,9,270,0.2494504600763321,True
C,h3_exc,3,10,24,0.2199467122554779,True
straight,h3_exc,3,1,31,0.2691359221935272,True
straight,h3_exc,3,2,7,0.10444850474596024,True
straight,h3_exc,3,3,503,0.070359967648983,False
straight,h3_exc,3,4,255,0.0674235075712204,False
straight,h3_exc,3,5,437,0.06162041053175926,False
straight,h3_exc,3,6,254,0.05583278089761734,False
straight,h3_exc,3,7,97,0.05316927284002304,False
straight,h3_exc,3,8,354,0.04986584186553955,False
straight,h3_exc,3,9,256,0.048524096608161926,False
straight,h3_exc,3,10,381,0.048111218959093094,False
