category,layer,timestep,n_channels,mean_SI,std_SI,max_SI,min_SI,n_SI_gt_0.05,n_SI_gt_0.08,n_SI_gt_0.10
C,h0_exc,0,64,8.795432222541422e-05,0.00035414317972026765,0.001443964894860983,-0.0005328556871972978,0,0,0
straight,h0_exc,0,64,-8.795432222541422e-05,0.00035414317972026765,0.0005328556871972978,-0.001443964894860983,0,0,0
C,h0_exc,1,64,0.00014237919822335243,0.0003211314615327865,0.0011299658799543977,-0.0006514287670142949,0,0,0
straight,h0_exc,1,64,-0.00014237919822335243,0.0003211314615327865,0.0006514287670142949,-0.0011299658799543977,0,0,0
C,h0_exc,2,64,0.0002489304752089083,0.0006332225166261196,0.0020995691884309053,-0.0008982557919807732,0,0,0
straight,h0_exc,2,64,-0.0002489304752089083,0.0006332225166261196,0.0008982557919807732,-0.0020995691884309053,0,0,0
C,h0_exc,3,64,0.0003839538258034736,0.0012917376589030027,0.003838344244286418,-0.002828018506988883,0,0,0
straight,h0_exc,3,64,-0.0003839538258034736,0.0012917376589030027,0.002828018506988883,-0.003838344244286418,0,0,0
C,h1_exc,0,128,0.00011258632002864033,0.0018962007015943527,0.006131151225417852,-0.004934608470648527,0,0,0
straight,h1_exc,0,128,-0.00011258632002864033,0.0018962007015943527,0.004934608470648527,-0.006131151225417852,0,0,0
C,h1_exc,1,128,0.0001460294588468969,0.001268433523364365,0.004357730038464069,-0.00263897143304348,0,0,0
straight,h1_exc,1,128,-0.0001460294588468969,0.001268433523364365,0.00263897143304348,-0.004357730038464069,0,0,0
C,h1_exc,2,128,0.0005987739423289895,0.0018049688078463078,0.009843110106885433,-0.0031795580871403217,0,0,0
straight,h1_exc,2,128,-0.0005987739423289895,0.0018049688078463078,0.0031795580871403217,-0.009843110106885433,0,0,0
C,h1_exc,3,128,0.0014323567738756537,0.004840433597564697,0.030053190886974335,-0.008248722180724144,0,0,0
straight,h1_exc,3,128,-0.0014323567738756537,0.004840433597564697,0.008248722180724144,-0.030053190886974335,0,0,0
C,h2_exc,0,256,0.0015756585635244846,0.007099593989551067,0.04160451516509056,-0.017358999699354172,0,0,0
straight,h2_exc,0,256,-0.0015756585635244846,0.007099593989551067,0.017358999699354172,-0.04160451516509056,0,0,0
C,h2_exc,1,256,0.0030034934170544147,0.00837000459432602,0.05908777937293053,-0.01764281839132309,1,0,0
straight,h2_exc,1,256,-0.0030034934170544147,0.00837000459432602,0.01764281839132309,-0.05908777937293053,0,0,0
C,h2_exc,2,256,0.0071665141731500626,0.012913580052554607,0.06738733500242233,-0.01778457872569561,2,0,0
straight,h2_exc,2,256,-0.0071665141731500626,0.012913580052554607,0.01778457872569561,-0.06738733500242233,0,0,0
C,h2_exc,3,256,0.01544584333896637,0.02626640349626541,0.1515061855316162,-0.03715386614203453,18,11,6
straight,h2_exc,3,256,-0.01544584333896637,0.02626640349626541,0.03715386614203453,-0.1515061855316162,0,0,0
C,h3_exc,0,512,0.006236563436686993,0.011167893186211586,0.07811804860830307,-0.012231778353452682,4,0,0
straight,h3_exc,0,512,-0.006236563436686993,0.011167893186211586,0.012231778353452682,-0.07811804860830307,0,0,0
C,h3_exc,1,512,-0.00013493852748069912,0.011847754940390587,0.10394205898046494,-0.04901676997542381,3,1,1
straight,h3_exc,1,512,0.00013493852748069912,0.011847754940390587,0.04901676997542381,-0.10394205898046494,0,0,0
C,h3_exc,2,512,0.003857365110889077,0.02837110497057438,0.283486008644104,-0.08097643405199051,17,13,7
straight,h3_exc,2,512,-0.003857365110889077,0.02837110497057438,0.08097643405199051,-0.283486008644104,2,1,0
C,h3_exc,3,512,0.012302245944738388,0.05936742573976517,0.43629327416419983,-0.2691359221935272,48,33,25
straight,h3_exc,3,512,-0.012302245944738388,0.05936742573976517,0.2691359221935272,-0.43629327416419983,7,2,2
C,h4_exc,0,512,0.0006607416435144842,0.0037608356215059757,0.013469821773469448,-0.015427641570568085,0,0,0
straight,h4_exc,0,512,-0.0006607416435144842,0.0037608356215059757,0.015427641570568085,-0.013469821773469448,0,0,0
C,h4_exc,1,512,0.00039368076249957085,0.007301736157387495,0.03652866557240486,-0.032117974013090134,0,0,0
straight,h4_exc,1,512,-0.00039368076249957085,0.007301736157387495,0.032117974013090134,-0.03652866557240486,0,0,0
C,h4_exc,2,512,-0.0015615178272128105,0.01281646452844143,0.13612985610961914,-0.10991911590099335,2,1,1
straight,h4_exc,2,512,0.0015615178272128105,0.01281646452844143,0.10991911590099335,-0.13612985610961914,5,1,1
C,h4_exc,3,512,-0.005493450909852982,0.03611624985933304,0.40613701939582825,-0.1915545016527176,11,8,8
straight,h4_exc,3,512,0.005493450909852982,0.03611624985933304,0.1915545016527176,-0.40613701939582825,20,13,9
