filename,contour_type,layer,channel,contour_mean_activation,background_mean_activation,contour_preference_ratio,activation_on_contour_pct,contour_area_pct,contour_enrichment,rank_contour_enrichment
C_high_BL_0_J000_000.png,C,h1_exc,13,13.090065,1.7523206,7.470131,11.15703,1.6533203125,6.748256798005228,1
C_high_BL_0_J000_000.png,C,h1_exc,36,8.207203,1.1766962,6.974785,10.494848,1.6533203125,6.347740427864228,2
C_high_BL_0_J000_000.png,C,h1_exc,99,6.2925224,1.2647971,4.975124,7.71822,1.6533203125,4.668315104387303,3
C_high_BL_0_J000_000.png,C,h1_exc,61,13.212419,2.6702228,4.9480586,7.6794567,1.6533203125,4.64486924058567,4
C_high_BL_0_J000_000.png,C,h1_exc,0,8.152739,1.7820529,4.574914,7.1416903,1.6533203125,4.31960471121072,5
C_high_BL_0_J000_000.png,C,h1_exc,76,3.781448,0.87992823,4.2974505,6.7377386,1.6533203125,4.075277196814331,6
C_high_BL_0_J000_000.png,C,h1_exc,29,18.860533,4.466174,4.222973,6.6287084,1.6533203125,4.0093309641026,7
C_high_BL_0_J000_000.png,C,h1_exc,72,16.256153,3.8545642,4.2173777,6.620508,1.6533203125,4.004371145670549,8
C_high_BL_0_J000_000.png,C,h1_exc,105,7.26807,1.9562413,3.7153242,5.878707,1.6533203125,3.5556974967673702,9
C_high_BL_0_J000_000.png,C,h1_exc,78,12.530227,3.4036021,3.6814604,5.828249,1.6533203125,3.5251783325618278,10
C_high_BL_0_J000_000.png,C,h1_exc,21,5.0790334,1.4079137,3.607489,5.717839,1.6533203125,3.4583974359818432,11
C_high_BL_0_J000_000.png,C,h1_exc,23,12.561214,3.5467863,3.5415764,5.6192374,1.6533203125,3.398759058647642,12
C_high_BL_0_J000_000.png,C,h1_exc,25,13.461281,4.072555,3.3053648,5.2641826,1.6533203125,3.1840064480889096,13
C_high_BL_0_J000_000.png,C,h1_exc,20,5.943449,1.8591229,3.1969104,5.100265,1.6533203125,3.084861993579305,14
C_high_BL_0_J000_000.png,C,h1_exc,118,2.9630847,0.9516457,3.1136427,4.9740305,1.6533203125,3.008509861639314,15
C_high_BL_0_J000_000.png,C,h1_exc,84,3.7787352,1.2152354,3.1094677,4.9676914,1.6533203125,3.0046757146232257,16
C_high_BL_0_J000_000.png,C,h1_exc,26,5.161625,1.7185397,3.0034947,4.806526,1.6533203125,2.9071959732606696,17
C_high_BL_0_J000_000.png,C,h1_exc,92,9.036217,3.0495696,2.963112,4.7449684,1.6533203125,2.869963158217116,18
C_high_BL_0_J000_000.png,C,h1_exc,7,12.115681,4.1783447,2.8996365,4.648047,1.6533203125,2.811340855799244,19
C_high_BL_0_J000_000.png,C,h1_exc,64,6.064267,2.177286,2.7852416,4.472876,1.6533203125,2.705389881838782,20
C_high_BL_0_J000_000.png,C,h1_exc,90,4.7569976,1.7232546,2.760473,4.4348636,1.6533203125,2.6823982666869415,21
C_high_BL_0_J000_000.png,C,h1_exc,57,3.8792565,1.4235551,2.7250483,4.3804455,1.6533203125,2.6494838421407474,22
C_high_BL_0_J000_000.png,C,h1_exc,62,5.814819,2.1744456,2.6741614,4.3021646,1.6533203125,2.6021361354166426,23
C_high_BL_0_J000_000.png,C,h1_exc,43,1.9442197,0.738751,2.6317658,4.23685,1.6533203125,2.562630923476763,24
C_high_BL_0_J000_000.png,C,h1_exc,80,9.597623,3.656181,2.6250403,4.226479,1.6533203125,2.556358254343852,25
C_high_BL_0_J000_000.png,C,h1_exc,6,5.9261007,2.284939,2.5935488,4.1778946,1.6533203125,2.5269722602621405,26
