contour_type,layer,channel,n_images,mean_contour_mean_activation,sem_contour_mean_activation,mean_background_mean_activation,sem_background_mean_activation,mean_contour_preference_ratio,sem_contour_preference_ratio,mean_activation_on_contour_pct,sem_activation_on_contour_pct,mean_contour_area_pct,mean_contour_enrichment,sem_contour_enrichment,mean_dice_top_activation,sem_dice_top_activation,rank_mean_contour_enrichment
C,h1_exc,13,25,12.69697,0.3626949,1.7885847,0.0063817785,7.1066356,0.21244977,10.650325,0.28400776,1.6533203125,6.441779623618533,0.17178024476103043,0.2331081873793404,0.002406358711240477,1
C,h1_exc,36,25,8.053459,0.27950203,1.1851534,0.009121876,6.8093147,0.24792393,10.24153,0.3333359,1.6533203125,6.194523079318863,0.20161604632188798,0.21543618536812584,0.0019276467399403769,2
C,h1_exc,61,25,12.79401,0.24710444,2.6655135,0.0072027757,4.802799,0.09796825,7.465696,0.14104831,1.6533203125,4.515577327051381,0.08531215280538464,0.25102153691422857,0.0025878078336745362,3
C,h1_exc,99,25,5.9871387,0.16305949,1.2812304,0.011024974,4.6811433,0.13147601,7.286072,0.19014171,1.6533203125,4.406932909515953,0.1150059738907447,0.1900812871866336,0.0020563556700911203,4
C,h1_exc,0,25,7.9633484,0.14359298,1.7163115,0.0148667935,4.6499205,0.09865735,7.245043,0.14212556,1.6533203125,4.382116847202967,0.08596372133143054,0.22765775580304393,0.0021469631409959055,5
C,h1_exc,29,25,19.430332,0.2251606,4.4308033,0.018559428,4.388046,0.057129104,6.868232,0.08326292,1.6533203125,4.154205296418156,0.05036103319892548,0.25004273862377435,0.001848175014729216,6
C,h1_exc,76,25,3.861558,0.115349256,0.91388994,0.0073853135,4.235081,0.13601777,6.6362996,0.19818735,1.6533203125,4.013922296029938,0.11987232655983973,0.20808849409183935,0.0021535899235462764,7
C,h1_exc,72,25,15.166101,0.23227902,3.7514956,0.018465685,4.0426064,0.059057135,6.361666,0.08702362,1.6533203125,3.8478123152161263,0.05263566858838585,0.2353473560712014,0.0022820618540606275,8
C,h1_exc,105,25,7.0468583,0.09895994,1.8479738,0.013847143,3.8187695,0.06250133,6.030321,0.092574105,1.6533203125,3.64740015283188,0.055992841449507225,0.2387530377941517,0.0016878856252904556,9
C,h1_exc,21,25,5.020038,0.100610726,1.3896174,0.0075352974,3.6171677,0.08006051,5.7286696,0.11922105,1.6533203125,3.464948191811979,0.0721100731257857,0.2316533981394187,0.002998018178023251,10
C,h1_exc,78,25,12.336073,0.1475078,3.4260247,0.028392686,3.6057105,0.050251875,5.713745,0.075091235,1.6533203125,3.4559212357420948,0.04541844256589256,0.23133160144118714,0.002730553361528272,11
C,h1_exc,23,25,12.44561,0.155658,3.6505308,0.017407304,3.4113455,0.0463396,5.4225807,0.069764555,1.6533203125,3.2798123278808164,0.04219663298961533,0.20476326154344693,0.0037280717147623534,12
C,h1_exc,20,25,6.2265553,0.105091475,1.8833269,0.012356344,3.3087173,0.057134245,5.2673573,0.08623014,1.6533203125,3.1859265326165755,0.052155736895714525,0.19506913600922224,0.0016039510394124461,13
C,h1_exc,25,25,13.345135,0.18767107,4.184181,0.024739232,3.1895862,0.04093516,5.088203,0.062030923,1.6533203125,3.077566246890562,0.037518999000513205,0.2274432246708896,0.0023755930869837597,14
C,h1_exc,26,25,5.3775163,0.07384954,1.7314235,0.005271598,3.1067648,0.044264723,4.962446,0.06728049,1.6533203125,3.0015032305166023,0.040694166322132116,0.20981071863836084,0.00426135363164765,15
C,h1_exc,92,25,9.18269,0.17648125,3.0257163,0.011503375,3.0386846,0.065530136,4.857603,0.099461615,1.6533203125,2.938089369134799,0.060158709362498945,0.22566663873273637,0.0024696791650122315,16
