bias_strength,bias_condition,contour_type,layer,channel_group,n_channels,mean_contour_preference_ratio,sem_contour_preference_ratio,mean_activation_on_contour_pct,sem_activation_on_contour_pct,mean_contour_enrichment,sem_contour_enrichment,mean_dice_top_activation,sem_dice_top_activation
0.05,C_bias,C,h1_exc,C_channels,77,2.009434,0.031811364,3.2199812,0.04798874,1.9475845802938974,0.029025675871137663,0.12418980196058534,0.0018814913352297473
0.05,C_bias,C,h1_exc,straight_channels,51,1.510378,0.027742598,2.4510934,0.043414224,1.4825278093307839,0.02625881053463786,0.08617262630639592,0.0021403267817851042
0.05,C_bias,C,td_h1_exc,C_channels,77,1.7946129,0.030753424,2.8825674,0.04768375,1.7435021181568053,0.028841205199455003,0.10295263593247186,0.0021202769640511895
0.05,C_bias,C,td_h1_exc,straight_channels,51,1.411332,0.03195634,2.284579,0.04945422,1.3818127575126737,0.02991206086500507,0.08268896026546398,0.002344839649955253
0.05,C_bias,straight,h1_exc,C_channels,77,1.664587,0.0274639,1.3598789,0.021756172,1.6440566270133767,0.026302621205468467,0.052393667398703894,0.0010523662546298653
0.05,C_bias,straight,h1_exc,straight_channels,51,1.655521,0.030398225,1.3542312,0.024314241,1.6372286721193396,0.029395257561282594,0.05473365377042017,0.0013201352380999328
0.05,C_bias,straight,td_h1_exc,C_channels,77,1.5530306,0.028317248,1.2685525,0.02270611,1.5336455880622017,0.027451069634901824,0.046816068782861466,0.0011676959902507669
0.05,C_bias,straight,td_h1_exc,straight_channels,51,1.5192752,0.033074174,1.2421229,0.026424104,1.5016928187283711,0.03194602489348895,0.04987198796377284,0.0014384717199457842
0.05,baseline,C,h1_exc,C_channels,77,1.9652988,0.030304424,3.1546438,0.04596723,1.9080657970037362,0.027802977699540387,0.12252251216300082,0.001872247881077968
0.05,baseline,C,h1_exc,straight_channels,51,1.4998863,0.027220229,2.4352174,0.04265222,1.4729253376252882,0.0257979154303461,0.08533360850094873,0.002125310092475823
0.05,baseline,C,td_h1_exc,C_channels,77,1.7454474,0.02935268,2.808548,0.045660224,1.6987320409854938,0.027617287956143936,0.10237804904863923,0.002115077961827251
0.05,baseline,C,td_h1_exc,straight_channels,51,1.4027867,0.03150111,2.2717657,0.048800882,1.374062599504205,0.029516895123582118,0.08213428550299105,0.002333921983030514
0.05,baseline,straight,h1_exc,C_channels,77,1.6335531,0.026319642,1.3354402,0.020901069,1.614510992365298,0.02526882550864433,0.0515996682863755,0.0010466447416438538
0.05,baseline,straight,h1_exc,straight_channels,51,1.6469203,0.02988481,1.3475043,0.023922715,1.629095990706508,0.028921912721918127,0.05443951734059749,0.0013176219649828707
0.05,baseline,straight,td_h1_exc,C_channels,77,1.5190853,0.027171614,1.2417446,0.02181623,1.5012355480546884,0.02637522949707399,0.046465801475616665,0.001163786127022944
0.05,baseline,straight,td_h1_exc,straight_channels,51,1.5129611,0.032709494,1.2371835,0.026145596,1.4957212626471932,0.031609315227452923,0.049764630347886515,0.0014393544665877163
0.05,straight_bias,C,h1_exc,C_channels,77,1.970866,0.03054757,3.1627681,0.046281878,1.9129795995512697,0.027993290974399572,0.12283677415571022,0.0018747661547394115
0.05,straight_bias,C,h1_exc,straight_channels,51,1.5153009,0.02778596,2.4589105,0.043442726,1.4872559433781112,0.026276048488438383,0.08591569056513469,0.002125501863053007
0.05,straight_bias,C,td_h1_exc,C_channels,77,1.7436277,0.02935188,2.8056743,0.04564583,1.6969936963796788,0.02760858242841854,0.10219770852530538,0.002113774096167564
0.05,straight_bias,C,td_h1_exc,straight_channels,51,1.4329948,0.033154014,2.3169687,0.051076528,1.4014033086156048,0.030893305071562335,0.08269334213893403,0.002325919244082852
0.05,straight_bias,straight,h1_exc,C_channels,77,1.6383027,0.026546206,1.339151,0.021067783,1.6189972354740452,0.02547037767728085,0.051807516466529896,0.0010476532125226045
0.05,straight_bias,straight,h1_exc,straight_channels,51,1.6632992,0.030570474,1.3604617,0.024432024,1.6447611436017755,0.029537653096902133,0.05477086788384434,0.0013153518606199824
0.05,straight_bias,straight,td_h1_exc,C_channels,77,1.5165808,0.0271789,1.2397038,0.021818915,1.4987681817817102,0.026378475499964582,0.04639294958536199,0.0011616610184161348
0.05,straight_bias,straight,td_h1_exc,straight_channels,51,1.5447309,0.034158856,1.2622335,0.027233317,1.5260059390835665,0.032924341012867314,0.0498646405965074,0.0014298638195496824
0.15,C_bias,C,h1_exc,C_channels,77,2.0892031,0.034689505,3.3370013,0.051739752,2.0183634164954247,0.03129445046712946,0.12753659868668824,0.0018962690227735451
