bias_strength,bias_condition,contour_type,layer,channel,n_images,mean_contour_preference_ratio,sem_contour_preference_ratio,mean_activation_on_contour_pct,sem_activation_on_contour_pct,mean_contour_area_pct,mean_contour_enrichment,sem_contour_enrichment,mean_dice_top_activation,sem_dice_top_activation,rank_mean_contour_enrichment,baseline_preference,baseline_activation_pct,baseline_enrichment,baseline_dice,delta_preference,delta_activation_pct,delta_enrichment,delta_dice,channel_group
0.05,C_bias,C,h1_exc,0,25,4.7666655,0.10298808,7.413127,0.14793198,1.6533203125,4.483781363625121,0.08947569368899685,0.22934718846875943,0.002118674370192374,17,4.6499205,7.245043,4.382116847202967,0.22765775580304393,0.116744995,0.16808414,0.10166451642215346,0.0016894326657155012,C_channels
0.05,C_bias,C,h1_exc,1,25,2.0151794,0.018882966,3.2765205,0.029717619,1.6533203125,1.9817820386445968,0.017974507464138065,0.2093622726890058,0.001758912422197389,132,2.0334585,3.3052564,1.9991627167918333,0.20921344216548532,-0.018279076,-0.028735876,-0.01738067814723654,0.00014883052352049342,straight_channels
0.05,C_bias,C,h1_exc,2,25,2.1358805,0.03059428,3.4656293,0.04792252,1.6533203125,2.096163175356786,0.02898562363390314,0.17408530964537494,0.004522210120326955,120,2.091972,3.3968158,2.054541793446688,0.17212100896658666,0.043908358,0.06881356,0.04162138191009834,0.0019643006787882777,C_channels
0.05,C_bias,C,h1_exc,3,25,0.97100663,0.02044284,1.6058846,0.03329686,1.6533203125,0.9713088186045763,0.02013938933217919,0.026239839101628894,0.0019534873473552525,278,0.97935873,1.6194625,0.9795212390686002,0.02644766613590342,-0.008352101,-0.013577938,-0.008212420464023928,-0.0002078270342745249,C_channels
0.05,C_bias,C,h1_exc,4,25,0.6225888,0.0080297785,1.0357596,0.013219132,1.6533203125,0.6264723977931653,0.007995505901740264,0.0,0.0,340,0.6293065,1.0468179,0.6331609784318851,6.704097879823427e-06,-0.006717682,-0.011058331,-0.006688580638719799,-6.704097879823427e-06,straight_channels
0.05,C_bias,C,h1_exc,5,25,0.77409,0.009305937,1.2845602,0.0152470535,1.6533203125,0.7769579165895679,0.00922208079901627,0.0037207524144854016,0.0003845061079415171,313,0.80148625,1.3294165,0.804088922313684,0.0039353054554563515,-0.027396262,-0.04485631,-0.027131005724116086,-0.00021455304097094986,C_channels
0.05,C_bias,C,h1_exc,6,25,2.5808399,0.04948447,4.1568103,0.0764339,1.6533203125,2.514219484663699,0.046230545485789004,0.19773066286751217,0.0028396339395635,81,2.5419314,4.0967045,2.477864877908174,0.19459859249038497,0.03890848,0.0601058,0.036354606755525154,0.003132070377127205,C_channels
0.05,C_bias,C,h1_exc,7,25,2.843627,0.026766943,4.561938,0.041015904,1.6533203125,2.7592584187803864,0.02480820296329555,0.2154287526616529,0.0020376997846758903,63,2.8457649,4.5652165,2.7612413078705784,0.21389424285576644,-0.0021378994,-0.0032787323,-0.0019828890901920637,0.0015345098058864581,straight_channels
0.05,C_bias,C,h1_exc,8,25,1.3714749,0.024286134,2.2532728,0.038973775,1.6533203125,1.3628773267390053,0.023573032464544105,0.059170367887321565,0.00238546587047299,220,1.3516152,2.2214112,1.3436060224495565,0.05959919870464463,0.019859672,0.031861544,0.019271304289448787,-0.00042883081732306844,C_channels
0.05,C_bias,C,h1_exc,9,25,0.704829,0.0070866193,1.1709899,0.011636273,1.6533203125,0.7082655734165597,0.007038123567596903,0.0067375801692346245,0.0005872340753672031,328,0.70295197,1.1679087,0.7064019080132573,0.006134249560038436,0.0018770099,0.0030812025,0.0018636654033024058,0.0006033306091961883,straight_channels
