bias_condition,contour_type,layer,n_channels,n_images,mean_contour_preference_ratio,sem_contour_preference_ratio,mean_activation_on_contour_pct,sem_activation_on_contour_pct,mean_contour_enrichment,sem_contour_enrichment,mean_dice_top_activation,sem_dice_top_activation
C_bias,C,h1_exc,128,25.0,1.8679705,0.11983067,2.9982264,0.18123259,1.8134577070452211,0.10961734313190821,0.11171630798536386,0.007318481784699302
C_bias,C,td_h1_exc,128,25.0,1.7072407,0.12061742,2.7423475,0.18610108,1.6586910013355118,0.11256202458107513,0.0960235803821619,0.007951096445658399
C_bias,straight,h1_exc,128,25.0,1.7033262,0.09931235,1.3908268,0.07899837,1.6814718057474067,0.09550688737343063,0.054563438517865825,0.003907695790872038
C_bias,straight,td_h1_exc,128,25.0,1.5876286,0.107136235,1.2959261,0.08582814,1.5667394721434984,0.10376388803945487,0.04858820248599861,0.004345575451720448
baseline,C,h1_exc,128,25.0,1.779861,0.1065115,2.8679974,0.16333365,1.7346895202201358,0.09879129857041825,0.10770505836015194,0.00718589007255628
baseline,C,td_h1_exc,128,25.0,1.6089185,0.108467184,2.5946739,0.16866636,1.5693715603952927,0.10201674376860845,0.09431217451092004,0.007883918246565518
baseline,straight,h1_exc,128,25.0,1.6388792,0.09080178,1.340247,0.07260065,1.620322202641874,0.08777220942258199,0.05273117064391707,0.0038687682009154478
baseline,straight,td_h1_exc,128,25.0,1.5166452,0.09876125,1.2399273,0.07932961,1.4990384499626395,0.09590734873600877,0.04778017860441169,0.0043247225605947195
straight_bias,C,h1_exc,128,25.0,1.8078737,0.10974972,2.91025,0.16763926,1.7602457323426437,0.10139551009999347,0.1090047673496234,0.00720031783648365
straight_bias,C,td_h1_exc,128,25.0,1.6426414,0.114781655,2.644162,0.17694815,1.5993040742990206,0.1070259284853857,0.09458700970904453,0.007838282241740964
straight_bias,straight,h1_exc,128,25.0,1.6645881,0.0940134,1.3605071,0.07499206,1.6448162266033401,0.09066336425801223,0.05350132573292053,0.003871377357618827
straight_bias,straight,td_h1_exc,128,25.0,1.5504043,0.10478291,1.2662755,0.08378178,1.5308926398888278,0.10128989613567135,0.0477902953172158,0.00427321881486889
