condition,use_bias,bias_strength,bias_mode,n_bias_channels,filename,path,contour_type,true_contour_quadrant,contrast,position,jitter,stimulus_id,analysis_layer,score_channel_mode,use_abs_activation,mask_TL_path,enrichment_TL,inside_activation_TL,outside_activation_TL,mask_area_fraction_TL,mask_TR_path,enrichment_TR,inside_activation_TR,outside_activation_TR,mask_area_fraction_TR,mask_BL_path,enrichment_BL,inside_activation_BL,outside_activation_BL,mask_area_fraction_BL,mask_BR_path,enrichment_BR,inside_activation_BR,outside_activation_BR,mask_area_fraction_BR,predicted_quadrant,highest_contour_enrichment,true_quadrant_enrichment,matches_true_quadrant
baseline,False,0.0,none,0,C_BL_0_J000_000.png,/home/yentl/pytorch_gammanet/Images_quad_final/C_BL_0_J000_000.png,C,BL,NA,0,0,0,h1_exc,matched_channels,True,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_TL_0_J000_000.png,1.0328878610094305,2.3469791412353516,2.272249698638916,0.01647186279296875,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_TR_0_J000_000.png,0.8728649312551864,1.9886428117752075,2.2782938480377197,0.0166168212890625,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_BL_0_J000_000.png,1.8949012956401325,4.245440483093262,2.24045467376709,0.01647186279296875,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_BR_0_J000_000.png,0.9310720294827364,2.11920166015625,2.276087760925293,0.0166168212890625,BL,1.8949012956401325,1.8949012956401325,True
baseline,False,0.0,none,0,C_BL_0_J000_001.png,/home/yentl/pytorch_gammanet/Images_quad_final/C_BL_0_J000_001.png,C,BL,NA,0,0,1,h1_exc,matched_channels,True,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_TL_0_J000_001.png,0.9603121220939856,2.1833293437957764,2.27356219291687,0.01647186279296875,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_TR_0_J000_001.png,0.9361879661066916,2.1293482780456543,2.2744879722595215,0.0166168212890625,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_BL_0_J000_001.png,1.972562763321309,4.411146640777588,2.2362515926361084,0.01647186279296875,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_BR_0_J000_001.png,0.9295694389371777,2.1145272254943848,2.274738311767578,0.0166168212890625,BL,1.972562763321309,1.972562763321309,True
baseline,False,0.0,none,0,C_BL_0_J000_002.png,/home/yentl/pytorch_gammanet/Images_quad_final/C_BL_0_J000_002.png,C,BL,NA,0,0,2,h1_exc,matched_channels,True,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_TL_0_J000_002.png,0.9763515619182199,2.221737861633301,2.2755510807037354,0.01647186279296875,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_TR_0_J000_002.png,0.8835936426551336,2.0137746334075928,2.2790732383728027,0.0166168212890625,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_BL_0_J000_002.png,1.8262285449322504,4.098282337188721,2.2441234588623047,0.01647186279296875,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_BR_0_J000_002.png,0.8726788670351545,1.9892606735229492,2.2794876098632812,0.0166168212890625,BL,1.8262285449322504,1.8262285449322504,True
baseline,False,0.0,none,0,C_BL_0_J000_003.png,/home/yentl/pytorch_gammanet/Images_quad_final/C_BL_0_J000_003.png,C,BL,NA,0,0,3,h1_exc,matched_channels,True,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_TL_0_J000_003.png,0.9425898011540698,2.1469109058380127,2.277672529220581,0.01647186279296875,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_TR_0_J000_003.png,0.9239203178017567,2.1050589084625244,2.2783987522125244,0.0166168212890625,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_BL_0_J000_003.png,1.7634722547935384,3.9629762172698975,2.2472574710845947,0.01647186279296875,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_BR_0_J000_003.png,0.9193279502205698,2.0947558879852295,2.2785730361938477,0.0166168212890625,BL,1.7634722547935384,1.7634722547935384,True
baseline,False,0.0,none,0,C_BL_0_J000_004.png,/home/yentl/pytorch_gammanet/Images_quad_final/C_BL_0_J000_004.png,C,BL,NA,0,0,4,h1_exc,matched_channels,True,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_TL_0_J000_004.png,0.8948821189618705,2.0364573001861572,2.2756710052490234,0.01647186279296875,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_TR_0_J000_004.png,0.8930995847102631,2.0324923992156982,2.275773525238037,0.0166168212890625,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_BL_0_J000_004.png,1.7786128564190862,3.9893651008605957,2.242964267730713,0.01647186279296875,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_BR_0_J000_004.png,0.9280570943790103,2.110818862915039,2.274449348449707,0.0166168212890625,BL,1.7786128564190862,1.7786128564190862,True
baseline,False,0.0,none,0,C_BL_0_J000_005.png,/home/yentl/pytorch_gammanet/Images_quad_final/C_BL_0_J000_005.png,C,BL,NA,0,0,5,h1_exc,matched_channels,True,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_TL_0_J000_005.png,0.9559514903619397,2.175800323486328,2.276057243347168,0.01647186279296875,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_TR_0_J000_005.png,0.8633107373520814,1.9679890871047974,2.279583692550659,0.0166168212890625,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_BL_0_J000_005.png,1.8661582533163157,4.18469762802124,2.24241304397583,0.01647186279296875,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_BR_0_J000_005.png,0.9147437493878015,2.0834500789642334,2.277632474899292,0.0166168212890625,BL,1.8661582533163157,1.8661582533163157,True
baseline,False,0.0,none,0,C_BR_0_J000_000.png,/home/yentl/pytorch_gammanet/Images_quad_final/C_BR_0_J000_000.png,C,BR,NA,0,0,0,h1_exc,matched_channels,True,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_TL_0_J000_000.png,1.1210243668423303,2.5398943424224854,2.265690565109253,0.01647186279296875,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_TR_0_J000_000.png,0.8506995473965575,1.9360674619674683,2.275853395462036,0.0166168212890625,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_BL_0_J000_000.png,1.044770944598497,2.370098114013672,2.268533706665039,0.01647186279296875,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_BR_0_J000_000.png,1.968668767390895,4.398486614227295,2.2342441082000732,0.0166168212890625,BR,1.968668767390895,1.968668767390895,True
baseline,False,0.0,none,0,C_BR_0_J000_001.png,/home/yentl/pytorch_gammanet/Images_quad_final/C_BR_0_J000_001.png,C,BR,NA,0,0,1,h1_exc,matched_channels,True,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_TL_0_J000_001.png,1.0254562969017473,2.32340407371521,2.2657270431518555,0.01647186279296875,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_TR_0_J000_001.png,0.8846801549977948,2.009134292602539,2.271028995513916,0.0166168212890625,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_BL_0_J000_001.png,0.9779788430404944,2.217566728591919,2.2674996852874756,0.01647186279296875,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_BR_0_J000_001.png,1.9037530801512894,4.251348972320557,2.2331409454345703,0.0166168212890625,BR,1.9037530801512894,1.9037530801512894,True
baseline,False,0.0,none,0,C_BR_0_J000_002.png,/home/yentl/pytorch_gammanet/Images_quad_final/C_BR_0_J000_002.png,C,BR,NA,0,0,2,h1_exc,matched_channels,True,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_TL_0_J000_002.png,0.9696781117157302,2.202749252319336,2.2716293334960938,0.01647186279296875,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_TR_0_J000_002.png,0.8251655909088721,1.8789923191070557,2.277109384536743,0.0166168212890625,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_BL_0_J000_002.png,1.1308322404893214,2.5620269775390625,2.2656118869781494,0.01647186279296875,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_BR_0_J000_002.png,1.5190952792499197,3.41960072517395,2.251077175140381,0.0166168212890625,BR,1.5190952792499197,1.5190952792499197,True
baseline,False,0.0,none,0,C_BR_0_J000_003.png,/home/yentl/pytorch_gammanet/Images_quad_final/C_BR_0_J000_003.png,C,BR,NA,0,0,3,h1_exc,matched_channels,True,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_TL_0_J000_003.png,1.0265177083225896,2.3269095420837402,2.266799211502075,0.01647186279296875,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_TR_0_J000_003.png,0.8475520288326841,1.9269503355026245,2.273548126220703,0.0166168212890625,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_BL_0_J000_003.png,1.091545791136219,2.4716687202453613,2.2643747329711914,0.01647186279296875,/home/yentl/pytorch_gammanet/contour_masks_quad_final/C_BR_0_J000_003.png,1.8794122714454915,4.200725078582764,2.2351269721984863,0.0166168212890625,BR,1.8794122714454915,1.8794122714454915,True
