condition,use_bias,bias_strength,bias_mode,filename,path,contour_type,true_contour_quadrant,predicted_quadrant,matches_true_quadrant,contrast,position,jitter,stimulus_id,analysis_layer,score_channel_mode,use_abs_activation,enrichment_TL,enrichment_TR,enrichment_BL,enrichment_BR,highest_contour_enrichment,true_quadrant_enrichment
baseline,False,0.0,none,C_BL_0_J000_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J000_000.png,C,BL,BL,1,NA,0,0,0,h1_exc,all_channels,True,1.0011155013604223,0.8993944511432642,1.7346080789486704,0.9261529716129054,1.7346080789486704,1.7346080789486704
baseline,False,0.0,none,C_BL_0_J000_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J000_001.png,C,BL,BL,1,NA,0,0,1,h1_exc,all_channels,True,0.9830942854163919,0.9459075111104341,1.7850512422509632,0.9282425758398232,1.7850512422509632,1.7850512422509632
baseline,False,0.0,none,C_BL_0_J000_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J000_002.png,C,BL,BL,1,NA,0,0,2,h1_exc,all_channels,True,0.9604499195265698,0.8945361510183768,1.6604795330846835,0.8941966249662452,1.6604795330846835,1.6604795330846835
baseline,False,0.0,none,C_BL_0_J000_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J000_003.png,C,BL,BL,1,NA,0,0,3,h1_exc,all_channels,True,0.9421175330548904,0.9248005919391061,1.619506040038048,0.9199472589259332,1.619506040038048,1.619506040038048
baseline,False,0.0,none,C_BL_0_J000_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J000_004.png,C,BL,BL,1,NA,0,0,4,h1_exc,all_channels,True,0.9318449483366694,0.9042069368856787,1.6164707698943623,0.9302884554842096,1.6164707698943623,1.6164707698943623
baseline,False,0.0,none,C_BL_0_J000_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J000_005.png,C,BL,BL,1,NA,0,0,5,h1_exc,all_channels,True,0.9734072904756504,0.8936187036301663,1.711859621792812,0.9256334682098187,1.711859621792812,1.711859621792812
baseline,False,0.0,none,C_BL_0_J010_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J010_000.png,C,BL,BL,1,NA,0,10,0,h1_exc,all_channels,True,1.0019032638503234,0.9011106490057819,1.6964800959742419,0.9271751164130672,1.6964800959742419,1.6964800959742419
baseline,False,0.0,none,C_BL_0_J010_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J010_001.png,C,BL,BL,1,NA,0,10,1,h1_exc,all_channels,True,0.9837843153923709,0.9462855536514132,1.7955975490269924,0.9287155336173049,1.7955975490269924,1.7955975490269924
baseline,False,0.0,none,C_BL_0_J010_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J010_002.png,C,BL,BL,1,NA,0,10,2,h1_exc,all_channels,True,0.9633842959575142,0.8954418461485154,1.5904853211378165,0.8953399478655528,1.5904853211378165,1.5904853211378165
baseline,False,0.0,none,C_BL_0_J010_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J010_003.png,C,BL,BL,1,NA,0,10,3,h1_exc,all_channels,True,0.9416545395758429,0.9244473386397013,1.6084070756573106,0.9196379369769936,1.6084070756573106,1.6084070756573106
baseline,False,0.0,none,C_BL_0_J010_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J010_004.png,C,BL,BL,1,NA,0,10,4,h1_exc,all_channels,True,0.933953807886182,0.9063192332403287,1.5123304221551992,0.9328454241125603,1.5123304221551992,1.5123304221551992
baseline,False,0.0,none,C_BL_0_J010_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J010_005.png,C,BL,BL,1,NA,0,10,5,h1_exc,all_channels,True,0.973809390128963,0.8936807946995237,1.7075401235821315,0.9257417258666932,1.7075401235821315,1.7075401235821315
baseline,False,0.0,none,C_BL_0_J020_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J020_000.png,C,BL,BL,1,NA,0,20,0,h1_exc,all_channels,True,1.0031244931119718,0.9026064762486252,1.674885795815906,0.928192232003327,1.674885795815906,1.674885795815906
baseline,False,0.0,none,C_BL_0_J020_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J020_001.png,C,BL,BL,1,NA,0,20,1,h1_exc,all_channels,True,0.9814538490183363,0.9450010095278096,1.835326130495774,0.9266794352768181,1.835326130495774,1.835326130495774
baseline,False,0.0,none,C_BL_0_J020_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J020_002.png,C,BL,BL,1,NA,0,20,2,h1_exc,all_channels,True,0.9626065584270402,0.8945601271249428,1.630530013538192,0.8945154447279535,1.630530013538192,1.630530013538192
baseline,False,0.0,none,C_BL_0_J020_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J020_003.png,C,BL,BL,1,NA,0,20,3,h1_exc,all_channels,True,0.9463064171170362,0.9271688254134851,1.484323671981421,0.923543390546808,1.484323671981421,1.484323671981421
baseline,False,0.0,none,C_BL_0_J020_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J020_004.png,C,BL,BL,1,NA,0,20,4,h1_exc,all_channels,True,0.935335693186004,0.9064823411849287,1.5417340001877324,0.9328862025447778,1.5417340001877324,1.5417340001877324
