condition,use_bias,bias_strength,bias_mode,filename,path,contour_type,true_contour_quadrant,predicted_quadrant,matches_true_quadrant,contrast,position,jitter,stimulus_id,analysis_layer,score_channel_mode,use_abs_activation,classification_quadrants,mean_activation_TL,mean_activation_TR,mean_activation_BL,mean_activation_BR,highest_compared_quadrant_activation,true_quadrant_activation,activation_difference_BL_minus_TR
baseline,False,0.0,none,C_BL_0_J000_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J000_000.png,C,BL,BL,1,NA,0,0,0,h1_exc,all_channels,True,BL+TR,2.1929819583892822,2.0499563217163086,2.4395592212677,2.11655592918396,2.4395592212677,2.4395592212677,0.3896028995513916
baseline,False,0.0,none,C_BL_0_J000_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J000_001.png,C,BL,BL,1,NA,0,0,1,h1_exc,all_channels,True,BL+TR,2.1268632411956787,2.1125102043151855,2.463916063308716,2.0741865634918213,2.463916063308716,2.463916063308716,0.3514058589935303
baseline,False,0.0,none,C_BL_0_J000_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J000_002.png,C,BL,BL,1,NA,0,0,2,h1_exc,all_channels,True,BL+TR,2.123084783554077,2.0548548698425293,2.54520320892334,2.0713391304016113,2.54520320892334,2.54520320892334,0.49034833908081055
baseline,False,0.0,none,C_BL_0_J000_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J000_003.png,C,BL,BL,1,NA,0,0,3,h1_exc,all_channels,True,BL+TR,2.142716884613037,2.106174945831299,2.483400344848633,2.077166795730591,2.483400344848633,2.483400344848633,0.377225399017334
baseline,False,0.0,none,C_BL_0_J000_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J000_004.png,C,BL,BL,1,NA,0,0,4,h1_exc,all_channels,True,BL+TR,2.162014961242676,2.06600022315979,2.439197540283203,2.1195449829101562,2.439197540283203,2.439197540283203,0.3731973171234131
baseline,False,0.0,none,C_BL_0_J000_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J000_005.png,C,BL,BL,1,NA,0,0,5,h1_exc,all_channels,True,BL+TR,2.0965895652770996,2.1197350025177,2.456799030303955,2.124765396118164,2.456799030303955,2.456799030303955,0.3370640277862549
baseline,False,0.0,none,C_TR_1_J000_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J000_000.png,C,TR,BL,0,NA,1,0,0,h1_exc,all_channels,True,BL+TR,2.2931008338928223,2.0814945697784424,2.1774661540985107,2.24234938621521,2.1774661540985107,2.0814945697784424,0.09597158432006836
baseline,False,0.0,none,C_TR_1_J000_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J000_001.png,C,TR,BL,0,NA,1,0,1,h1_exc,all_channels,True,BL+TR,2.195852279663086,2.18656063079834,2.2340266704559326,2.2022721767425537,2.2340266704559326,2.18656063079834,0.04746603965759277
baseline,False,0.0,none,C_TR_1_J000_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J000_002.png,C,TR,BL,0,NA,1,0,2,h1_exc,all_channels,True,BL+TR,2.2402851581573486,2.1689958572387695,2.289151668548584,2.0931026935577393,2.289151668548584,2.1689958572387695,0.12015581130981445
baseline,False,0.0,none,C_TR_1_J000_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J000_003.png,C,TR,BL,0,NA,1,0,3,h1_exc,all_channels,True,BL+TR,2.2418267726898193,2.1040351390838623,2.229902982711792,2.1906137466430664,2.229902982711792,2.1040351390838623,0.1258678436279297
