contour_type,jitter,n_images,n_match,proportion_match,mean_activation_BL,mean_activation_TR,mean_activation_TL,mean_activation_BR,mean_highest_compared_quadrant_activation,mean_true_quadrant_activation,mean_activation_difference_BL_minus_TR
C,0,12,6,0.5,2.3508538206418357,2.1103448271751404,2.200754384199778,2.1296528379122415,2.3508538206418357,2.3035818139712014,0.24050899346669516
C,10,12,6,0.5,2.347865025202433,2.1069606939951577,2.2041334311167398,2.1324143409729004,2.347865025202433,2.294228255748749,0.2409043312072754
C,20,12,6,0.5,2.3469647566477456,2.1014248530069985,2.2076810399691262,2.1348822911580405,2.3469647566477456,2.2838035027186074,0.24553990364074707
C,30,12,6,0.5,2.333773692448934,2.0968657732009888,2.217310905456543,2.1417444547017417,2.333773692448934,2.258267263571421,0.23690791924794516
C,40,12,6,0.5,2.3228978315989175,2.1002801855405173,2.2201724449793496,2.1449297070503235,2.3228978315989175,2.245812714099884,0.22261764605840048
C,50,12,6,0.5,2.320379455884298,2.0956918199857077,2.225076417128245,2.1471547881762185,2.320379455884298,2.2361927231152854,0.2246876358985901
straight,0,12,7,0.5833333333333334,2.322349747021993,2.122093786795934,2.218655447165171,2.126201411088308,2.325567066669464,2.3075369000434875,0.20025596022605896
straight,10,12,7,0.5833333333333334,2.3206918239593506,2.110096583763758,2.228614648183187,2.133098085721334,2.321260631084442,2.284746785958608,0.21059524019559225
straight,20,12,6,0.5,2.3198657631874084,2.1027465065320334,2.2328980366388955,2.136674483617147,2.3198657631874084,2.2727195819218955,0.21711925665537515
straight,30,12,6,0.5,2.317858636379242,2.0928881565729776,2.2398821115493774,2.1415196657180786,2.317858636379242,2.2549757758776345,0.22497047980626425
straight,40,12,6,0.5,2.3130319714546204,2.0880055030186973,2.2441630760828652,2.1442354321479797,2.3130319714546204,2.241300563017527,0.22502646843592325
straight,50,12,6,0.5,2.314443310101827,2.082959830760956,2.2460373441378274,2.1457520127296448,2.314443310101827,2.236561397711436,0.23148347934087118
