contour_type,jitter,n_images,n_match,proportion_match,mean_activation_BL,mean_activation_TR,mean_activation_TL,mean_activation_BR,mean_highest_compared_quadrant_activation,mean_true_quadrant_activation,mean_activation_difference_BL_minus_TR,condition
C,0,12,6,0.5,2.3508538206418357,2.1103448271751404,2.200754384199778,2.1296528379122415,2.3508538206418357,2.3035818139712014,0.24050899346669516,baseline
C,10,12,6,0.5,2.347865025202433,2.1069606939951577,2.2041334311167398,2.1324143409729004,2.347865025202433,2.294228255748749,0.2409043312072754,baseline
C,20,12,6,0.5,2.3469647566477456,2.1014248530069985,2.2076810399691262,2.1348822911580405,2.3469647566477456,2.2838035027186074,0.24553990364074707,baseline
C,30,12,6,0.5,2.333773692448934,2.0968657732009888,2.217310905456543,2.1417444547017417,2.333773692448934,2.258267263571421,0.23690791924794516,baseline
C,40,12,6,0.5,2.3228978315989175,2.1002801855405173,2.2201724449793496,2.1449297070503235,2.3228978315989175,2.245812714099884,0.22261764605840048,baseline
C,50,12,6,0.5,2.320379455884298,2.0956918199857077,2.225076417128245,2.1471547881762185,2.320379455884298,2.2361927231152854,0.2246876358985901,baseline
straight,0,12,7,0.5833333333333334,2.322349747021993,2.122093786795934,2.218655447165171,2.126201411088308,2.325567066669464,2.3075369000434875,0.20025596022605896,baseline
straight,10,12,7,0.5833333333333334,2.3206918239593506,2.110096583763758,2.228614648183187,2.133098085721334,2.321260631084442,2.284746785958608,0.21059524019559225,baseline
straight,20,12,6,0.5,2.3198657631874084,2.1027465065320334,2.2328980366388955,2.136674483617147,2.3198657631874084,2.2727195819218955,0.21711925665537515,baseline
straight,30,12,6,0.5,2.317858636379242,2.0928881565729776,2.2398821115493774,2.1415196657180786,2.317858636379242,2.2549757758776345,0.22497047980626425,baseline
straight,40,12,6,0.5,2.3130319714546204,2.0880055030186973,2.2441630760828652,2.1442354321479797,2.3130319714546204,2.241300563017527,0.22502646843592325,baseline
straight,50,12,6,0.5,2.314443310101827,2.082959830760956,2.2460373441378274,2.1457520127296448,2.314443310101827,2.236561397711436,0.23148347934087118,baseline
C,0,12,6,0.5,2.7413862148920694,2.4752912123998008,2.573591649532318,2.5017993251482644,2.7413862148920694,2.688756247361501,0.26609500249226886,matched_bias_0.25
C,10,12,6,0.5,2.738446215788523,2.4715735713640847,2.5771961013476052,2.5048415064811707,2.738446215788523,2.6789188385009766,0.2668726444244385,matched_bias_0.25
C,20,12,6,0.5,2.7381964127222695,2.4646234711011252,2.5813090205192566,2.507814188798269,2.7381964127222695,2.6672107378641763,0.2735729416211446,matched_bias_0.25
C,30,12,6,0.5,2.7245936195055642,2.4594038923581443,2.591868976751963,2.515613039334615,2.7245936195055642,2.63964851697286,0.26518972714742023,matched_bias_0.25
C,40,12,6,0.5,2.7128594517707825,2.462911287943522,2.595188796520233,2.519405742486318,2.7128594517707825,2.6260783871014914,0.24994816382726034,matched_bias_0.25
C,50,12,6,0.5,2.710551102956136,2.4577030539512634,2.600239336490631,2.5224496126174927,2.710551102956136,2.615692615509033,0.2528480490048726,matched_bias_0.25
straight,0,12,8,0.6666666666666666,2.7360826333363852,2.5149890383084617,2.6244618892669678,2.5187049508094788,2.7397219141324363,2.7193119724591575,0.22109359502792358,matched_bias_0.25
straight,10,12,7,0.5833333333333334,2.7351860801378884,2.5016561150550842,2.6366161505381265,2.5272743900616965,2.7352587978045144,2.6938523054122925,0.23352996508280435,matched_bias_0.25
straight,20,12,6,0.5,2.7343963384628296,2.493008037408193,2.6416914065678916,2.53141717116038,2.7343963384628296,2.6798921823501587,0.24138830105463663,matched_bias_0.25
straight,30,12,6,0.5,2.7323113679885864,2.4827184279759726,2.649504780769348,2.5367889602979026,2.7323113679885864,2.6609325408935547,0.24959294001261392,matched_bias_0.25
straight,40,12,6,0.5,2.7273022135098777,2.4768524964650473,2.654082238674164,2.539538582166036,2.7273022135098777,2.645925303300222,0.2504497170448303,matched_bias_0.25
straight,50,12,6,0.5,2.7286430199941,2.4708146850268045,2.6563916405042014,2.541349212328593,2.7286430199941,2.6396633982658386,0.25782833496729535,matched_bias_0.25
