condition,use_bias,bias_strength,bias_mode,filename,path,contour_type,true_contour_quadrant,predicted_quadrant,matches_true_quadrant,contrast,position,jitter,stimulus_id,analysis_layer,score_channel_mode,use_abs_activation,classification_quadrants,mean_activation_TL,mean_activation_TR,mean_activation_BL,mean_activation_BR,highest_compared_quadrant_activation,true_quadrant_activation,activation_difference_BL_minus_TR
matched_bias,True,0.25,add_mean_abs,C_BL_0_J000_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J000_000.png,C,BL,BL,1,NA,0,0,0,h1_exc,all_channels,True,BL+TR,2.568185329437256,2.4138143062591553,2.8368208408355713,2.4812428951263428,2.8368208408355713,2.8368208408355713,0.423006534576416
matched_bias,True,0.25,add_mean_abs,C_BL_0_J000_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J000_001.png,C,BL,BL,1,NA,0,0,1,h1_exc,all_channels,True,BL+TR,2.4827420711517334,2.4680087566375732,2.8790318965911865,2.443047523498535,2.8790318965911865,2.8790318965911865,0.4110231399536133
matched_bias,True,0.25,add_mean_abs,C_BL_0_J000_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J000_002.png,C,BL,BL,1,NA,0,0,2,h1_exc,all_channels,True,BL+TR,2.492941379547119,2.4100661277770996,2.961653470993042,2.435570001602173,2.961653470993042,2.961653470993042,0.5515873432159424
matched_bias,True,0.25,add_mean_abs,C_BL_0_J000_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J000_003.png,C,BL,BL,1,NA,0,0,3,h1_exc,all_channels,True,BL+TR,2.5160694122314453,2.470574378967285,2.86787748336792,2.4551355838775635,2.86787748336792,2.86787748336792,0.39730310440063477
matched_bias,True,0.25,add_mean_abs,C_BL_0_J000_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J000_004.png,C,BL,BL,1,NA,0,0,4,h1_exc,all_channels,True,BL+TR,2.52533221244812,2.4274098873138428,2.8504254817962646,2.4861297607421875,2.8504254817962646,2.8504254817962646,0.4230155944824219
matched_bias,True,0.25,add_mean_abs,C_BL_0_J000_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J000_005.png,C,BL,BL,1,NA,0,0,5,h1_exc,all_channels,True,BL+TR,2.4661829471588135,2.4911279678344727,2.8467726707458496,2.5000834465026855,2.8467726707458496,2.8467726707458496,0.35564470291137695
matched_bias,True,0.25,add_mean_abs,C_TR_1_J000_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J000_000.png,C,TR,BL,0,NA,1,0,0,h1_exc,all_channels,True,BL+TR,2.670949935913086,2.454627752304077,2.5516245365142822,2.6198391914367676,2.5516245365142822,2.454627752304077,0.09699678421020508
matched_bias,True,0.25,add_mean_abs,C_TR_1_J000_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J000_001.png,C,TR,BL,0,NA,1,0,1,h1_exc,all_channels,True,BL+TR,2.5685253143310547,2.553271532058716,2.6134562492370605,2.5884368419647217,2.6134562492370605,2.553271532058716,0.06018471717834473
matched_bias,True,0.25,add_mean_abs,C_TR_1_J000_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J000_002.png,C,TR,BL,0,NA,1,0,2,h1_exc,all_channels,True,BL+TR,2.6216955184936523,2.520698070526123,2.6848158836364746,2.4592347145080566,2.6848158836364746,2.520698070526123,0.16411781311035156
matched_bias,True,0.25,add_mean_abs,C_TR_1_J000_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J000_003.png,C,TR,BL,0,NA,1,0,3,h1_exc,all_channels,True,BL+TR,2.608454704284668,2.473717451095581,2.612179756164551,2.564984083175659,2.612179756164551,2.473717451095581,0.13846230506896973
matched_bias,True,0.25,add_mean_abs,C_TR_1_J000_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J000_004.png,C,TR,BL,0,NA,1,0,4,h1_exc,all_channels,True,BL+TR,2.667997360229492,2.5444984436035156,2.603411912918091,2.4672036170959473,2.603411912918091,2.5444984436035156,0.058913469314575195
matched_bias,True,0.25,add_mean_abs,C_TR_1_J000_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J000_005.png,C,TR,BL,0,NA,1,0,5,h1_exc,all_channels,True,BL+TR,2.694023609161377,2.475679874420166,2.588564395904541,2.520684242248535,2.588564395904541,2.475679874420166,0.112884521484375
matched_bias,True,0.25,add_mean_abs,C_BL_0_J010_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J010_000.png,C,BL,BL,1,NA,0,10,0,h1_exc,all_channels,True,BL+TR,2.5739152431488037,2.418401002883911,2.824213981628418,2.4850552082061768,2.824213981628418,2.824213981628418,0.40581297874450684
matched_bias,True,0.25,add_mean_abs,C_BL_0_J010_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J010_001.png,C,BL,BL,1,NA,0,10,1,h1_exc,all_channels,True,BL+TR,2.4832346439361572,2.468332290649414,2.876983642578125,2.443486452102661,2.876983642578125,2.876983642578125,0.40865135192871094
matched_bias,True,0.25,add_mean_abs,C_BL_0_J010_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J010_002.png,C,BL,BL,1,NA,0,10,2,h1_exc,all_channels,True,BL+TR,2.5003552436828613,2.4154484272003174,2.9454333782196045,2.4404027462005615,2.9454333782196045,2.9454333782196045,0.5299849510192871
matched_bias,True,0.25,add_mean_abs,C_BL_0_J010_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J010_003.png,C,BL,BL,1,NA,0,10,3,h1_exc,all_channels,True,BL+TR,2.5175588130950928,2.4713289737701416,2.8675146102905273,2.4555201530456543,2.8675146102905273,2.8675146102905273,0.39618563652038574
matched_bias,True,0.25,add_mean_abs,C_BL_0_J010_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J010_004.png,C,BL,BL,1,NA,0,10,4,h1_exc,all_channels,True,BL+TR,2.533102512359619,2.4346346855163574,2.827319383621216,2.4940543174743652,2.827319383621216,2.827319383621216,0.3926846981048584
matched_bias,True,0.25,add_mean_abs,C_BL_0_J010_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J010_005.png,C,BL,BL,1,NA,0,10,5,h1_exc,all_channels,True,BL+TR,2.466583490371704,2.4912161827087402,2.8460397720336914,2.500002384185791,2.8460397720336914,2.8460397720336914,0.35482358932495117
matched_bias,True,0.25,add_mean_abs,C_TR_1_J010_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J010_000.png,C,TR,BL,0,NA,1,10,0,h1_exc,all_channels,True,BL+TR,2.6754417419433594,2.440751075744629,2.554851531982422,2.624675989151001,2.554851531982422,2.440751075744629,0.11410045623779297
matched_bias,True,0.25,add_mean_abs,C_TR_1_J010_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J010_001.png,C,TR,BL,0,NA,1,10,1,h1_exc,all_channels,True,BL+TR,2.5729973316192627,2.540134906768799,2.6182172298431396,2.591948986053467,2.6182172298431396,2.540134906768799,0.07808232307434082
matched_bias,True,0.25,add_mean_abs,C_TR_1_J010_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J010_002.png,C,TR,BL,0,NA,1,10,2,h1_exc,all_channels,True,BL+TR,2.6266708374023438,2.503262758255005,2.691650390625,2.4618115425109863,2.691650390625,2.503262758255005,0.18838763236999512
matched_bias,True,0.25,add_mean_abs,C_TR_1_J010_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J010_003.png,C,TR,BL,0,NA,1,10,3,h1_exc,all_channels,True,BL+TR,2.6103293895721436,2.469024181365967,2.6135170459747314,2.566147565841675,2.6135170459747314,2.469024181365967,0.14449286460876465
matched_bias,True,0.25,add_mean_abs,C_TR_1_J010_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J010_004.png,C,TR,BL,0,NA,1,10,4,h1_exc,all_channels,True,BL+TR,2.6714532375335693,2.5344934463500977,2.606477737426758,2.4719600677490234,2.606477737426758,2.5344934463500977,0.07198429107666016
matched_bias,True,0.25,add_mean_abs,C_TR_1_J010_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J010_005.png,C,TR,BL,0,NA,1,10,5,h1_exc,all_channels,True,BL+TR,2.6947107315063477,2.4718549251556396,2.5891358852386475,2.5230326652526855,2.5891358852386475,2.4718549251556396,0.11728096008300781
matched_bias,True,0.25,add_mean_abs,C_BL_0_J020_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J020_000.png,C,BL,BL,1,NA,0,20,0,h1_exc,all_channels,True,BL+TR,2.5782384872436523,2.42132568359375,2.812869071960449,2.4879255294799805,2.812869071960449,2.812869071960449,0.3915433883666992
matched_bias,True,0.25,add_mean_abs,C_BL_0_J020_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J020_001.png,C,BL,BL,1,NA,0,20,1,h1_exc,all_channels,True,BL+TR,2.478663921356201,2.463568687438965,2.8921422958374023,2.4380640983581543,2.8921422958374023,2.8921422958374023,0.4285736083984375
matched_bias,True,0.25,add_mean_abs,C_BL_0_J020_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J020_002.png,C,BL,BL,1,NA,0,20,2,h1_exc,all_channels,True,BL+TR,2.4986701011657715,2.4133834838867188,2.951429605484009,2.4380130767822266,2.951429605484009,2.951429605484009,0.53804612159729
matched_bias,True,0.25,add_mean_abs,C_BL_0_J020_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J020_003.png,C,BL,BL,1,NA,0,20,3,h1_exc,all_channels,True,BL+TR,2.5284950733184814,2.481674909591675,2.836521625518799,2.464561939239502,2.836521625518799,2.836521625518799,0.354846715927124
matched_bias,True,0.25,add_mean_abs,C_BL_0_J020_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J020_004.png,C,BL,BL,1,NA,0,20,4,h1_exc,all_channels,True,BL+TR,2.529031991958618,2.431741952896118,2.825284719467163,2.493846893310547,2.825284719467163,2.825284719467163,0.3935427665710449
matched_bias,True,0.25,add_mean_abs,C_BL_0_J020_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_BL_0_J020_005.png,C,BL,BL,1,NA,0,20,5,h1_exc,all_channels,True,BL+TR,2.4740920066833496,2.500979423522949,2.8254740238189697,2.505730628967285,2.8254740238189697,2.8254740238189697,0.3244946002960205
matched_bias,True,0.25,add_mean_abs,C_TR_1_J020_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J020_000.png,C,TR,BL,0,NA,1,20,0,h1_exc,all_channels,True,BL+TR,2.677926540374756,2.4316554069519043,2.5577800273895264,2.627169609069824,2.5577800273895264,2.4316554069519043,0.12612462043762207
matched_bias,True,0.25,add_mean_abs,C_TR_1_J020_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J020_001.png,C,TR,BL,0,NA,1,20,1,h1_exc,all_channels,True,BL+TR,2.572197675704956,2.541550636291504,2.617854595184326,2.592902660369873,2.617854595184326,2.541550636291504,0.07630395889282227
matched_bias,True,0.25,add_mean_abs,C_TR_1_J020_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J020_002.png,C,TR,BL,0,NA,1,20,2,h1_exc,all_channels,True,BL+TR,2.6300551891326904,2.495464324951172,2.6965198516845703,2.4617276191711426,2.6965198516845703,2.495464324951172,0.20105552673339844
matched_bias,True,0.25,add_mean_abs,C_TR_1_J020_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J020_003.png,C,TR,BL,0,NA,1,20,3,h1_exc,all_channels,True,BL+TR,2.6298656463623047,2.4254310131073,2.635349750518799,2.581951379776001,2.635349750518799,2.4254310131073,0.20991873741149902
matched_bias,True,0.25,add_mean_abs,C_TR_1_J020_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J020_004.png,C,TR,BL,0,NA,1,20,4,h1_exc,all_channels,True,BL+TR,2.6680285930633545,2.5404739379882812,2.605692148208618,2.4710214138031006,2.605692148208618,2.5404739379882812,0.06521821022033691
matched_bias,True,0.25,add_mean_abs,C_TR_1_J020_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final_2/C_TR_1_J020_005.png,C,TR,BL,0,NA,1,20,5,h1_exc,all_channels,True,BL+TR,2.7104430198669434,2.428232192993164,2.6014392375946045,2.530855417251587,2.6014392375946045,2.428232192993164,0.17320704460144043
