contour_type,jitter,n_images,n_match,proportion_match,mean_activation_BL,mean_activation_TR,mean_activation_TL,mean_activation_BR,mean_highest_compared_quadrant_activation,mean_true_quadrant_activation,mean_activation_difference_BL_minus_TR
C,0,12,6,0.5,2.7413862148920694,2.4752912123998008,2.573591649532318,2.5017993251482644,2.7413862148920694,2.688756247361501,0.26609500249226886
C,10,12,6,0.5,2.738446215788523,2.4715735713640847,2.5771961013476052,2.5048415064811707,2.738446215788523,2.6789188385009766,0.2668726444244385
C,20,12,6,0.5,2.7381964127222695,2.4646234711011252,2.5813090205192566,2.507814188798269,2.7381964127222695,2.6672107378641763,0.2735729416211446
C,30,12,6,0.5,2.7245936195055642,2.4594038923581443,2.591868976751963,2.515613039334615,2.7245936195055642,2.63964851697286,0.26518972714742023
C,40,12,6,0.5,2.7128594517707825,2.462911287943522,2.595188796520233,2.519405742486318,2.7128594517707825,2.6260783871014914,0.24994816382726034
C,50,12,6,0.5,2.710551102956136,2.4577030539512634,2.600239336490631,2.5224496126174927,2.710551102956136,2.615692615509033,0.2528480490048726
straight,0,12,8,0.6666666666666666,2.7360826333363852,2.5149890383084617,2.6244618892669678,2.5187049508094788,2.7397219141324363,2.7193119724591575,0.22109359502792358
straight,10,12,7,0.5833333333333334,2.7351860801378884,2.5016561150550842,2.6366161505381265,2.5272743900616965,2.7352587978045144,2.6938523054122925,0.23352996508280435
straight,20,12,6,0.5,2.7343963384628296,2.493008037408193,2.6416914065678916,2.53141717116038,2.7343963384628296,2.6798921823501587,0.24138830105463663
straight,30,12,6,0.5,2.7323113679885864,2.4827184279759726,2.649504780769348,2.5367889602979026,2.7323113679885864,2.6609325408935547,0.24959294001261392
straight,40,12,6,0.5,2.7273022135098777,2.4768524964650473,2.654082238674164,2.539538582166036,2.7273022135098777,2.645925303300222,0.2504497170448303
straight,50,12,6,0.5,2.7286430199941,2.4708146850268045,2.6563916405042014,2.541349212328593,2.7286430199941,2.6396633982658386,0.25782833496729535
