condition,contour_type,channel_group,n_images,mean_contour_mean_activation,mean_background_mean_activation,mean_contour_preference_ratio,mean_activation_on_contour_pct,mean_contour_enrichment,mean_dice_top_activation
baseline,C,C_channels,60,1.96748,0.6380166,3.088806,4.903883,2.977127008327096,0.21181425128211095
baseline,C,all_channels,60,1.7421712,0.6160854,2.8313024,4.5157757,2.7415088175003066,0.20864310745743667
baseline,C,matched_channels,60,1.96748,0.6380166,3.088806,4.903883,2.977127008327096,0.21181425128211095
baseline,C,straight_channels,60,1.5025563,0.683531,2.2038906,3.5542152,2.1577494272277042,0.17663369023125472
baseline,straight,C_channels,61,1.4991889,0.64254296,2.339987,1.950055,2.3089215197835937,0.08935686501193837
baseline,straight,all_channels,61,1.4837216,0.62369657,2.3818154,1.9848562,2.3501272291413975,0.10042380923733703
baseline,straight,matched_channels,61,1.5487311,0.68360424,2.2701573,1.8944908,2.243131969484844,0.10838266681130594
baseline,straight,straight_channels,61,1.5487311,0.68360424,2.2701573,1.8944908,2.243131969484844,0.10838266681130594
matched_bias,C,C_channels,60,2.1552086,0.6585185,3.2794259,5.189017,3.1502305141563065,0.21596196465019837
matched_bias,C,all_channels,60,1.9028733,0.63791686,2.9862888,4.750106,2.8837695915420825,0.2140390154191354
matched_bias,C,matched_channels,60,2.1552086,0.6585185,3.2794259,5.189017,3.1502305141563065,0.21596196465019837
matched_bias,C,straight_channels,60,1.6109009,0.6958171,2.3203185,3.734504,2.2672019955091076,0.18398862378786787
matched_bias,straight,C_channels,61,1.557384,0.66269904,2.3590617,1.9654737,2.327177499582839,0.09018711882346933
matched_bias,straight,all_channels,61,1.545516,0.6430169,2.4078922,2.0060472,2.375217855787984,0.10144548162641592
matched_bias,straight,matched_channels,61,1.6145161,0.7002193,2.3114,1.9281849,2.2830265574733923,0.1095464167563445
matched_bias,straight,straight_channels,61,1.6145161,0.7002193,2.3114,1.9281849,2.2830265574733923,0.1095464167563445
