condition,contour_type,layer,channel,n_images,mean_contour_mean_activation,sem_contour_mean_activation,mean_background_mean_activation,sem_background_mean_activation,mean_contour_preference_ratio,sem_contour_preference_ratio,mean_activation_on_contour_pct,sem_activation_on_contour_pct,mean_contour_area_pct,mean_contour_enrichment,sem_contour_enrichment,mean_dice_top_activation,sem_dice_top_activation,rank_mean_contour_enrichment
full_td,C,h1_exc,0,25,7.9633484,0.14359298,1.7163115,0.0148667935,4.6499205,0.09865735,7.245043,0.14212556,1.6533203125,4.382116847202967,0.08596372133143053,0.22765775580304393,0.002146963140995906,5
full_td,C,h1_exc,1,25,5.379925,0.05224824,2.6458042,0.008276125,2.0334585,0.019066509,3.3052564,0.029987412,1.6533203125,1.9991627167918333,0.01813769043877527,0.20921344216548532,0.0017477198983434207,42
full_td,C,h1_exc,2,25,2.1285436,0.031498738,1.0177343,0.005723062,2.091972,0.029971408,3.3968158,0.047016095,1.6533203125,2.054541793446688,0.02843737862125979,0.17212100896658666,0.0045316395778845445,38
full_td,C,h1_exc,3,25,1.02142,0.023772169,1.0427917,0.009004238,0.97935873,0.020967456,1.6194625,0.03414256,1.6533203125,0.9795212390686002,0.02065090590910987,0.02644766613590342,0.0019666226690853356,92
full_td,C,h1_exc,4,25,0.9877155,0.012532321,1.5698357,0.0051790676,0.6293065,0.008114738,1.0468179,0.013356115,1.6533203125,0.6331609784318851,0.00807835874156349,6.704097879823427e-06,6.7040978798234265e-06,115
full_td,C,h1_exc,5,25,0.3079342,0.004193147,0.3841955,0.0024102798,0.80148625,0.009632321,1.3294165,0.015767734,1.6533203125,0.804088922313684,0.009537011101034477,0.0039353054554563515,0.0004211370712809176,102
full_td,C,h1_exc,6,25,5.9425836,0.10529099,2.3402555,0.012140206,2.5419314,0.049193595,4.0967045,0.07608093,1.6533203125,2.477864877908174,0.04601705584717357,0.19459859249038497,0.002863492988277996,25
full_td,C,h1_exc,7,25,11.834246,0.109419584,4.159096,0.012196574,2.8457649,0.026612615,4.5652165,0.04077457,1.6533203125,2.7612413078705784,0.024662230674509802,0.21389424285576644,0.002028820524937384,18
full_td,C,h1_exc,8,25,1.175474,0.0186826,0.87010765,0.0030435068,1.3516152,0.022680547,2.2214112,0.036425013,1.6533203125,1.3436060224495565,0.02203143168981928,0.05959919870464463,0.002435739967185768,74
full_td,C,h1_exc,9,25,0.45938188,0.0057638823,0.6533053,0.0038256363,0.70295197,0.0070005655,1.1679087,0.011495542,1.6533203125,0.7064019080132573,0.006953003556264727,0.006134249560038436,0.0005485834026163831,109
