condition,contour_type,layer,timestep,mean_abs_activation,n_images
full_td,C,h0_exc,0,0.48095589876174927,25
full_td,C,h0_exc,1,0.7893165349960327,25
full_td,C,h0_exc,2,1.1629018783569336,25
full_td,C,h0_exc,3,1.6498055458068848,25
full_td,C,h1_exc,0,0.44684138894081116,25
full_td,C,h1_exc,1,0.7116692066192627,25
full_td,C,h1_exc,2,0.924407422542572,25
full_td,C,h1_exc,3,1.213110089302063,25
full_td,C,h2_exc,0,0.5801795125007629,25
full_td,C,h2_exc,1,0.8182624578475952,25
full_td,C,h2_exc,2,1.1415084600448608,25
full_td,C,h2_exc,3,1.6942646503448486,25
full_td,C,h3_exc,0,0.6211755275726318,25
full_td,C,h3_exc,1,1.7377679347991943,25
full_td,C,h3_exc,2,5.9829301834106445,25
full_td,C,h3_exc,3,21.94155502319336,25
full_td,C,h4_exc,0,0.41345545649528503,25
full_td,C,h4_exc,1,2.2829339504241943,25
full_td,C,h4_exc,2,73.3851318359375,25
full_td,C,h4_exc,3,7153.724609375,25
full_td,straight,h0_exc,0,0.4808575510978699,25
full_td,straight,h0_exc,1,0.7890937328338623,25
full_td,straight,h0_exc,2,1.1621662378311157,25
full_td,straight,h0_exc,3,1.647603154182434,25
full_td,straight,h1_exc,0,0.4469195604324341,25
full_td,straight,h1_exc,1,0.7116151452064514,25
full_td,straight,h1_exc,2,0.9236900210380554,25
full_td,straight,h1_exc,3,1.2099679708480835,25
full_td,straight,h2_exc,0,0.5795332193374634,25
full_td,straight,h2_exc,1,0.8155937790870667,25
full_td,straight,h2_exc,2,1.1322749853134155,25
full_td,straight,h2_exc,3,1.6506435871124268,25
full_td,straight,h3_exc,0,0.6182072162628174,25
full_td,straight,h3_exc,1,1.7497159242630005,25
full_td,straight,h3_exc,2,6.050100326538086,25
full_td,straight,h3_exc,3,21.87527084350586,25
full_td,straight,h4_exc,0,0.413283109664917,25
full_td,straight,h4_exc,1,2.252514123916626,25
full_td,straight,h4_exc,2,73.00457763671875,25
full_td,straight,h4_exc,3,7214.201171875,25
no_td,C,h0_exc,0,0.48095589876174927,25
no_td,C,h0_exc,1,0.6104663610458374,25
no_td,C,h0_exc,2,0.6708952188491821,25
no_td,C,h0_exc,3,0.7036980986595154,25
no_td,C,h1_exc,0,0.44684138894081116,25
no_td,C,h1_exc,1,0.5559578537940979,25
no_td,C,h1_exc,2,0.6012604832649231,25
no_td,C,h1_exc,3,0.6245447397232056,25
no_td,C,h2_exc,0,0.5801795125007629,25
no_td,C,h2_exc,1,0.6591505408287048,25
no_td,C,h2_exc,2,0.6946803331375122,25
no_td,C,h2_exc,3,0.7030715346336365,25
no_td,C,h3_exc,0,0.6211755275726318,25
no_td,C,h3_exc,1,0.91716468334198,25
no_td,C,h3_exc,2,1.2795745134353638,25
no_td,C,h3_exc,3,1.7719186544418335,25
no_td,C,h4_exc,0,0.41345545649528503,25
no_td,C,h4_exc,1,0.7679393887519836,25
no_td,C,h4_exc,2,1.314996361732483,25
no_td,C,h4_exc,3,2.684394598007202,25
no_td,straight,h0_exc,0,0.4808575510978699,25
no_td,straight,h0_exc,1,0.6103689670562744,25
no_td,straight,h0_exc,2,0.6708292365074158,25
no_td,straight,h0_exc,3,0.7036340236663818,25
no_td,straight,h1_exc,0,0.4469195604324341,25
no_td,straight,h1_exc,1,0.5562341809272766,25
no_td,straight,h1_exc,2,0.6015658974647522,25
no_td,straight,h1_exc,3,0.6248239874839783,25
no_td,straight,h2_exc,0,0.5795332193374634,25
no_td,straight,h2_exc,1,0.6579616665840149,25
no_td,straight,h2_exc,2,0.6938609480857849,25
no_td,straight,h2_exc,3,0.7029569149017334,25
no_td,straight,h3_exc,0,0.6182072162628174,25
no_td,straight,h3_exc,1,0.9134353399276733,25
no_td,straight,h3_exc,2,1.2773172855377197,25
no_td,straight,h3_exc,3,1.7778205871582031,25
no_td,straight,h4_exc,0,0.413283109664917,25
no_td,straight,h4_exc,1,0.7477449774742126,25
no_td,straight,h4_exc,2,1.2358530759811401,25
no_td,straight,h4_exc,3,2.4099488258361816,25
